currency code,currency name,market cap
AAVE,Aave,1555355520.0
ABT,ArcBlock,363270752.0
ADA,Cardano,16278574080.0
ADX,AdEx,30392076.0
AE,Aeternity,14632697.0
AEON,Aeon,1052397.0
AGI,SingularityNET,233171600.0
AGRS,IDNI-Agoras,35073872.0
ALGO,Algorand,1534333952.0
AMP,Synereo,292379776.0
AMPL,Ampleforth,35025500.0
ANT,Aragon,417594784.0
APX,APX-Ventures,36006636.0
ARDR,Ardor,98339776.0
ARK,Ark,144516160.0
AST,AirSwap,25971362.0
ATM,ATMChain,13627705.0
ATOM,Cosmos,3315027968.0
AVAX,Avalanche,14217331712.0
AVT,Aventus,19038608.0
BAND,Band Protocol,247815200.0
BAT,Basic-Attention-Token,368430112.0
BCD,Bitcoin-Diamond,13567810.0
BCH,Bitcoin-Cash,9198843904.0
BCN,Bytecoin,5338133.0
BLZ,Bluzelle,107004400.0
BNB,Binance-Coin,92635996160.0
BNT,Bancor-Network-Token,110261512.0
BSV,Bitcoin SV,1210916736.0
BTC,Bitcoin,1362429476864.0
BTCD,BitcoinDark,45744408.0
BTCP,Bitcoin-Private,56062028.0
BTG,Bitcoin-Gold,583929472.0
BTM,Bitmark,20160588.0
BTS,BitShares,9001606.0
BTT,BitTorrent,1115205376.0
BTX,Bitcore,1050853.0
BURST,Burstcoin,56156244.0
BUSD,Binance-USD,70480736.0
CAKE,PancakeSwap,712892032.0
CDT,Blox,3349474.0
COVAL,Circuits-Of-Value,39625008.0
CRO,Crypto.com Coin,2971020288.0
CTXC,Cortex,71090784.0
CVC,Civic,147658704.0
DAI,Dai,5347788800.0
DAR,Darcrus,109849200.0
DASH,Dash,351698752.0
DATA,DATAcoin,62740272.0
DBC,DeepBrain-Chain,24311836.0
DCR,Decred,320304576.0
DENT,Dent,139822224.0
DGB,DigiByte,188893040.0
DMD,Diamond,10228089.0
DOGE,DogeCoin,23398715392.0
DOT,Polkadot,10277352448.0
DRGN,Dragonchain,20487080.0
EGLD,Elrond,1045920640.0
ELA,Elastos,57717308.0
ELF,aelf,366076320.0
ENJ,Enjin-Coin,448414080.0
EOS,EOS,928306304.0
ETC,Ethereum-Classic,4310603264.0
ETH,Ethereum,459450744832.0
ETN,Electroneum,53602968.0
FCT,Factom,7240689.0
FIL,Filecoin,3314821376.0
FTC,Feathercoin,1256418.0
FTT,FTX Token,519964576.0
FUN,FunFair,56825920.0
GAME,GameCredits,1712304.0
GAS,Gas,320993024.0
GBYTE,Byteball,10751096.0
GCR,GCRCoin,111511296.0
GNO,Gnosis-Token,883834560.0
GRS,Groestlcoin,39633176.0
GTO,Gifto,26506760.0
HBAR,Hedera,3634118912.0
HT,Huobi Token,89682280.0
ICX,ICON,218353392.0
IGNIS,Ignis,4896065.0
INF,InfChain,401769568.0
INSTAR,Insights-Network,7217106.0
IOST,IOStoken,184960944.0
IOTA,IOTA,712595520.0
IOTX,IoTeX,556171776.0
KCS,KuCoin,973654272.0
KICK,KickCoin,2023151.0
KIN,KIN,46875840.0
KLAY,Klaytn,849143360.0
KMD,Komodo,56750472.0
KNC,Kyber-Network,122749424.0
KSM,Kusama,265807504.0
LBC,LBRY-Credits,2068184.0
LCC,Litecoin-Cash,4431913.0
LEO,UNUS SED LEO,5467869184.0
LINK,ChainLink,10647943168.0
LOOM,Loom-Token,100774672.0
LRC,Loopring,366601856.0
LSK,Lisk,192834960.0
LTC,Litecoin,6259559936.0
LUNA,Terra,2034215.0
MANA,Decentraland,890594304.0
MATIC,Polygon,7032041472.0
MCO,Monaco,193643392.0
MED,MediBlock,103011752.0
MIOTA,IOTA,423587488.0
MKR,Maker,2431415296.0
MLN,Melon,56132160.0
MOD,Modum,1832003.0
MONA,MonaCoin,22137506.0
MYST,Mysterium,2612014.0
NBT,NuBits,1697054.0
NEO,NEO,1051194368.0
NLG,Gulden,1243166.0
NMC,Namecoin,6233989.0
NMR,Numeraire,187645440.0
NULS,Nuls,64994276.0
NXC,Nexium,14255995.0
OAX,openANX,17490380.0
OMG,OmiseGo,70643000.0
ONT,Ontology,262969456.0
ORN,Orion-Protocol,58319328.0
PART,Particl,3979100.0
PAY,TenX,1601119.0
PING,CryptoPing,2286384.0
PIVX,PIVX,30044300.0
PLR,Pillar,1482535.0
PLU,Pluton,7916870.0
POLY,Polymath,91590272.0
POWR,Power-Ledger,152308928.0
PPC,Peercoin,15006169.0
PPT,Populous,2245825.0
PRO,Propy,217508976.0
QLC,Qlink,1981996.0
QRL,Quantum-Resistant-Ledger,17102342.0
QSP,Quantstamp,4415010.0
QTUM,Qtum,367965568.0
QUICK,Quickswap,41341660.0
RADS,Radium,3158601.0
RAIN,Condensate,1191530.0
REP,Augur,12104603.0
REQ,Request-Network,141308208.0
RLC,RLC-Token,249994352.0
RUNE,THORChain,2021659520.0
SALT,Salt,2556146.0
SBD,Steem-Dollars,46462440.0
SC,Siacoin,380261696.0
SHIB,SHIBA-INU,14790383616.0
SNC,SunContract,4978960.0
SNT,Status-Network-Token,137412896.0
SOL,Solana,76228648960.0
SOUL,Phantasma,11925525.0
SPC,SpaceChain,1943312.0
SNX,Synthetix-Network-Token,880908864.0
STEEM,Steem,124544280.0
STORJ,Storj,202988064.0
STRAT,Stratis,41225904.0
SWFTC,SwftCoin,19695524.0
SYS,SysCoin,156369344.0
TAAS,Taas,6820717.0
TCC,The-ChampCoin,1432880.0
TFL,True-Flip,1086227.0
THC,HempCoin,1295181.0
THETA,Theta-Token,2143003520.0
TIME,Time,20897000.0
TKS,Tokes,3084849.0
TRAC,OriginTrail,348544704.0
TRIBE,Tribe,279738752.0
TRX,Tronix,9925896192.0
TUSD,TrueUSD,499234976.0
UNB,UnbreakableCoin,3595330.0
USDT,Tether,112166256640.0
UST,TerraUSD,409555424.0
UTK,UTrust,41629120.0
VET,VeChain,2459431936.0
VIB,Viberate,18933044.0
VTC,Vertcoin,4871871.0
WAN,Wanchain,49087212.0
WAVES,Waves,192271360.0
WBTC,Wrapped Bitcoin,10794906624.0
WCT,Waves-Community,1134501.0
XCP,Counterparty,21635044.0
XEM,NEM,223811168.0
XHV,Haven-Protocol,4509333.0
XLM,Stellar,3098522880.0
XMR,Monero,2879434752.0
XPM,Primecoin,1442929.0
XRP,Ripple,28893270016.0
XTZ,Tezos,925957184.0
XVG,Verge,99361840.0
XWC,WhiteCoin,3461032.0
XZC,ZCoin,48980212.0
ZEC,Zcash,436166592.0
ZEN,ZenCash,140993744.0
ZIL,Zilliqa,431528416.0
